Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,GPA_Category,GRE Score Scaled,GPA_Category_LE,GPA_High,GPA_Low,GPA_Medium
305,313,106,2,2.5,2.0,8.43,0,0.62,Medium,0.45999999999999996,2,False,False,True
306,321,109,3,3.5,3.5,8.8,1,0.74,High,0.6200000000000001,0,True,False,False
307,323,110,3,4.0,3.5,9.1,1,0.79,High,0.6600000000000001,0,True,False,False
308,325,112,4,4.0,4.0,9.0,1,0.8,High,0.7000000000000002,0,True,False,False
309,312,108,3,3.5,3.0,8.53,0,0.69,High,0.4400000000000004,0,True,False,False
310,308,110,4,3.5,3.0,8.6,0,0.7,High,0.3600000000000003,0,True,False,False
311,320,104,3,3.0,3.5,8.74,1,0.76,High,0.6000000000000005,0,True,False,False
312,328,108,4,4.5,4.0,9.18,1,0.84,High,0.7600000000000007,0,True,False,False
313,311,107,4,4.5,4.5,9.0,1,0.78,High,0.41999999999999993,0,True,False,False
314,301,100,3,3.5,3.0,8.04,0,0.67,Medium,0.22000000000000064,2,False,False,True
315,305,105,2,3.0,4.0,8.13,0,0.66,Medium,0.3000000000000007,2,False,False,True
316,308,104,2,2.5,3.0,8.07,0,0.65,Medium,0.3600000000000003,2,False,False,True
317,298,101,2,1.5,2.0,7.86,0,0.54,Medium,0.16000000000000014,2,False,False,True
318,300,99,1,1.0,2.5,8.01,0,0.58,Medium,0.20000000000000018,2,False,False,True
319,324,111,3,2.5,2.0,8.8,1,0.79,High,0.6800000000000006,0,True,False,False
320,327,113,4,3.5,3.0,8.69,1,0.8,High,0.7400000000000002,0,True,False,False
321,317,106,3,4.0,3.5,8.5,1,0.75,High,0.54,0,True,False,False
322,323,104,3,4.0,4.0,8.44,1,0.73,Medium,0.6600000000000001,2,False,False,True
323,314,107,2,2.5,4.0,8.27,0,0.72,Medium,0.4800000000000004,2,False,False,True
324,305,102,2,2.0,2.5,8.18,0,0.62,Medium,0.3000000000000007,2,False,False,True
325,315,104,3,3.0,2.5,8.33,0,0.67,Medium,0.5,2,False,False,True
326,326,116,3,3.5,4.0,9.14,1,0.81,High,0.7200000000000006,0,True,False,False
327,299,100,3,2.0,2.0,8.02,0,0.63,Medium,0.1800000000000006,2,False,False,True
328,295,101,2,2.5,2.0,7.86,0,0.69,Medium,0.10000000000000053,2,False,False,True
329,324,112,4,4.0,3.5,8.77,1,0.8,High,0.6800000000000006,0,True,False,False
330,297,96,2,2.5,1.5,7.89,0,0.43,Medium,0.14000000000000057,2,False,False,True
331,327,113,3,3.5,3.0,8.66,1,0.8,High,0.7400000000000002,0,True,False,False
332,311,105,2,3.0,2.0,8.12,1,0.73,Medium,0.41999999999999993,2,False,False,True
333,308,106,3,3.5,2.5,8.21,1,0.75,Medium,0.3600000000000003,2,False,False,True
334,319,108,3,3.0,3.5,8.54,1,0.71,High,0.5800000000000001,0,True,False,False
335,312,107,4,4.5,4.0,8.65,1,0.73,High,0.4400000000000004,0,True,False,False
336,325,111,4,4.0,4.5,9.11,1,0.83,High,0.7000000000000002,0,True,False,False
337,319,110,3,3.0,2.5,8.79,0,0.72,High,0.5800000000000001,0,True,False,False
338,332,118,5,5.0,5.0,9.47,1,0.94,High,0.8400000000000007,0,True,False,False
339,323,108,5,4.0,4.0,8.74,1,0.81,High,0.6600000000000001,0,True,False,False
340,324,107,5,3.5,4.0,8.66,1,0.81,High,0.6800000000000006,0,True,False,False
341,312,107,3,3.0,3.0,8.46,1,0.75,Medium,0.4400000000000004,2,False,False,True
342,326,110,3,3.5,3.5,8.76,1,0.79,High,0.7200000000000006,0,True,False,False
343,308,106,3,3.0,3.0,8.24,0,0.58,Medium,0.3600000000000003,2,False,False,True
344,305,103,2,2.5,3.5,8.13,0,0.59,Medium,0.3000000000000007,2,False,False,True
345,295,96,2,1.5,2.0,7.34,0,0.47,Medium,0.10000000000000053,2,False,False,True
346,316,98,1,1.5,2.0,7.43,0,0.49,Medium,0.5200000000000005,2,False,False,True
347,304,97,2,1.5,2.0,7.64,0,0.47,Medium,0.28000000000000025,2,False,False,True
348,299,94,1,1.0,1.0,7.34,0,0.42,Medium,0.1800000000000006,2,False,False,True
349,302,99,1,2.0,2.0,7.25,0,0.57,Medium,0.2400000000000002,2,False,False,True
350,313,101,3,2.5,3.0,8.04,0,0.62,Medium,0.45999999999999996,2,False,False,True
351,318,107,3,3.0,3.5,8.27,1,0.74,Medium,0.5600000000000005,2,False,False,True
352,325,110,4,3.5,4.0,8.67,1,0.73,High,0.7000000000000002,0,True,False,False
353,303,100,2,3.0,3.5,8.06,1,0.64,Medium,0.2600000000000007,2,False,False,True
354,300,102,3,3.5,2.5,8.17,0,0.63,Medium,0.20000000000000018,2,False,False,True
355,297,98,2,2.5,3.0,7.67,0,0.59,Medium,0.14000000000000057,2,False,False,True
356,317,106,2,2.0,3.5,8.12,0,0.73,Medium,0.54,2,False,False,True
357,327,109,3,3.5,4.0,8.77,1,0.79,High,0.7400000000000002,0,True,False,False
358,301,104,2,3.5,3.5,7.89,1,0.68,Medium,0.22000000000000064,2,False,False,True
359,314,105,2,2.5,2.0,7.64,0,0.7,Medium,0.4800000000000004,2,False,False,True
360,321,107,2,2.0,1.5,8.44,0,0.81,Medium,0.6200000000000001,2,False,False,True
361,322,110,3,4.0,5.0,8.64,1,0.85,High,0.6400000000000006,0,True,False,False
362,334,116,4,4.0,3.5,9.54,1,0.93,High,0.8799999999999999,0,True,False,False
363,338,115,5,4.5,5.0,9.23,1,0.91,High,0.96,0,True,False,False
364,306,103,2,2.5,3.0,8.36,0,0.69,Medium,0.3200000000000003,2,False,False,True
365,313,102,3,3.5,4.0,8.9,1,0.77,High,0.45999999999999996,0,True,False,False
366,330,114,4,4.5,3.0,9.17,1,0.86,High,0.8000000000000007,0,True,False,False
367,320,104,3,3.5,4.5,8.34,1,0.74,Medium,0.6000000000000005,2,False,False,True
368,311,98,1,1.0,2.5,7.46,0,0.57,Medium,0.41999999999999993,2,False,False,True
369,298,92,1,2.0,2.0,7.88,0,0.51,Medium,0.16000000000000014,2,False,False,True
370,301,98,1,2.0,3.0,8.03,1,0.67,Medium,0.22000000000000064,2,False,False,True
371,310,103,2,2.5,2.5,8.24,0,0.72,Medium,0.40000000000000036,2,False,False,True
372,324,110,3,3.5,3.0,9.22,1,0.89,High,0.6800000000000006,0,True,False,False
373,336,119,4,4.5,4.0,9.62,1,0.95,High,0.9199999999999999,0,True,False,False
374,321,109,3,3.0,3.0,8.54,1,0.79,High,0.6200000000000001,0,True,False,False
375,315,105,2,2.0,2.5,7.65,0,0.39,Medium,0.5,2,False,False,True
376,304,101,2,2.0,2.5,7.66,0,0.38,Medium,0.28000000000000025,2,False,False,True
377,297,96,2,2.5,2.0,7.43,0,0.34,Medium,0.14000000000000057,2,False,False,True
378,290,100,1,1.5,2.0,7.56,0,0.47,Medium,0.0,2,False,False,True
379,303,98,1,2.0,2.5,7.65,0,0.56,Medium,0.2600000000000007,2,False,False,True
380,311,99,1,2.5,3.0,8.43,1,0.71,Medium,0.41999999999999993,2,False,False,True
381,322,104,3,3.5,4.0,8.84,1,0.78,High,0.6400000000000006,0,True,False,False
382,319,105,3,3.0,3.5,8.67,1,0.73,High,0.5800000000000001,0,True,False,False
383,324,110,4,4.5,4.0,9.15,1,0.82,High,0.6800000000000006,0,True,False,False
384,300,100,3,3.0,3.5,8.26,0,0.62,Medium,0.20000000000000018,2,False,False,True
385,340,113,4,5.0,5.0,9.74,1,0.96,High,1.0,0,True,False,False
386,335,117,5,5.0,5.0,9.82,1,0.96,High,0.9000000000000004,0,True,False,False
387,302,101,2,2.5,3.5,7.96,0,0.46,Medium,0.2400000000000002,2,False,False,True
388,307,105,2,2.0,3.5,8.1,0,0.53,Medium,0.34000000000000075,2,False,False,True
389,296,97,2,1.5,2.0,7.8,0,0.49,Medium,0.1200000000000001,2,False,False,True
390,320,108,3,3.5,4.0,8.44,1,0.76,Medium,0.6000000000000005,2,False,False,True
391,314,102,2,2.0,2.5,8.24,0,0.64,Medium,0.4800000000000004,2,False,False,True
392,318,106,3,2.0,3.0,8.65,0,0.71,High,0.5600000000000005,0,True,False,False
393,326,112,4,4.0,3.5,9.12,1,0.84,High,0.7200000000000006,0,True,False,False
394,317,104,2,3.0,3.0,8.76,0,0.77,High,0.54,0,True,False,False
395,329,111,4,4.5,4.0,9.23,1,0.89,High,0.7800000000000002,0,True,False,False
396,324,110,3,3.5,3.5,9.04,1,0.82,High,0.6800000000000006,0,True,False,False
397,325,107,3,3.0,3.5,9.11,1,0.84,High,0.7000000000000002,0,True,False,False
398,330,116,4,5.0,4.5,9.45,1,0.91,High,0.8000000000000007,0,True,False,False
399,312,103,3,3.5,4.0,8.78,0,0.67,High,0.4400000000000004,0,True,False,False
400,333,117,4,5.0,4.0,9.66,1,0.95,High,0.8600000000000003,0,True,False,False
401,304,100,2,3.5,3.0,8.22,0,0.63,Medium,0.28000000000000025,2,False,False,True
402,315,105,2,3.0,3.0,8.34,0,0.66,Medium,0.5,2,False,False,True
403,324,109,3,3.5,3.0,8.94,1,0.78,High,0.6800000000000006,0,True,False,False
404,330,116,4,4.0,3.5,9.23,1,0.91,High,0.8000000000000007,0,True,False,False
405,311,101,3,2.0,2.5,7.64,1,0.62,Medium,0.41999999999999993,2,False,False,True
406,302,99,3,2.5,3.0,7.45,0,0.52,Medium,0.2400000000000002,2,False,False,True
407,322,103,4,3.0,2.5,8.02,1,0.61,Medium,0.6400000000000006,2,False,False,True
408,298,100,3,2.5,4.0,7.95,1,0.58,Medium,0.16000000000000014,2,False,False,True
409,297,101,3,2.0,4.0,7.67,1,0.57,Medium,0.14000000000000057,2,False,False,True
410,300,98,1,2.0,2.5,8.02,0,0.61,Medium,0.20000000000000018,2,False,False,True
411,301,96,1,3.0,4.0,7.56,0,0.54,Medium,0.22000000000000064,2,False,False,True
412,313,94,2,2.5,1.5,8.13,0,0.56,Medium,0.45999999999999996,2,False,False,True
413,314,102,4,2.5,2.0,7.88,1,0.59,Medium,0.4800000000000004,2,False,False,True
414,317,101,3,3.0,2.0,7.94,1,0.49,Medium,0.54,2,False,False,True
415,321,110,4,3.5,4.0,8.35,1,0.72,Medium,0.6200000000000001,2,False,False,True
416,327,106,4,4.0,4.5,8.75,1,0.76,High,0.7400000000000002,0,True,False,False
417,315,104,3,4.0,2.5,8.1,0,0.65,Medium,0.5,2,False,False,True
418,316,103,3,3.5,2.0,7.68,0,0.52,Medium,0.5200000000000005,2,False,False,True
419,309,111,2,2.5,4.0,8.03,0,0.6,Medium,0.3799999999999999,2,False,False,True
420,308,102,2,2.0,3.5,7.98,1,0.58,Medium,0.3600000000000003,2,False,False,True
421,299,100,3,2.0,3.0,7.42,0,0.42,Medium,0.1800000000000006,2,False,False,True
422,321,112,3,3.0,4.5,8.95,1,0.77,High,0.6200000000000001,0,True,False,False
423,322,112,4,3.5,2.5,9.02,1,0.73,High,0.6400000000000006,0,True,False,False
424,334,119,5,4.5,5.0,9.54,1,0.94,High,0.8799999999999999,0,True,False,False
425,325,114,5,4.0,5.0,9.46,1,0.91,High,0.7000000000000002,0,True,False,False
426,323,111,5,4.0,5.0,9.86,1,0.92,High,0.6600000000000001,0,True,False,False
427,312,106,3,3.0,5.0,8.57,0,0.71,High,0.4400000000000004,0,True,False,False
428,310,101,3,3.5,5.0,8.65,1,0.71,High,0.40000000000000036,0,True,False,False
429,316,103,2,2.0,4.5,8.74,0,0.69,High,0.5200000000000005,0,True,False,False
430,340,115,5,5.0,4.5,9.06,1,0.95,High,1.0,0,True,False,False
431,311,104,3,4.0,3.5,8.13,1,0.74,Medium,0.41999999999999993,2,False,False,True
432,320,112,2,3.5,3.5,8.78,1,0.73,High,0.6000000000000005,0,True,False,False
433,324,112,4,4.5,4.0,9.22,1,0.86,High,0.6800000000000006,0,True,False,False
434,316,111,4,4.0,5.0,8.54,0,0.71,High,0.5200000000000005,0,True,False,False
435,306,103,3,3.5,3.0,8.21,0,0.64,Medium,0.3200000000000003,2,False,False,True
436,309,105,2,2.5,4.0,7.68,0,0.55,Medium,0.3799999999999999,2,False,False,True
437,310,110,1,1.5,4.0,7.23,1,0.58,Medium,0.40000000000000036,2,False,False,True
438,317,106,1,1.5,3.5,7.65,1,0.61,Medium,0.54,2,False,False,True
439,318,110,1,2.5,3.5,8.54,1,0.67,High,0.5600000000000005,0,True,False,False
440,312,105,2,1.5,3.0,8.46,0,0.66,Medium,0.4400000000000004,2,False,False,True
441,305,104,2,2.5,1.5,7.79,0,0.53,Medium,0.3000000000000007,2,False,False,True
442,332,112,1,1.5,3.0,8.66,1,0.79,High,0.8400000000000007,0,True,False,False
443,331,116,4,4.5,4.5,9.44,1,0.92,High,0.8200000000000003,0,True,False,False
444,321,114,5,4.5,4.5,9.16,1,0.87,High,0.6200000000000001,0,True,False,False
445,324,113,5,4.0,5.0,9.25,1,0.92,High,0.6800000000000006,0,True,False,False
446,328,116,5,4.5,5.0,9.08,1,0.91,High,0.7600000000000007,0,True,False,False
447,327,118,4,5.0,5.0,9.67,1,0.93,High,0.7400000000000002,0,True,False,False
448,320,108,3,3.5,5.0,8.97,1,0.84,High,0.6000000000000005,0,True,False,False
449,312,109,2,2.5,4.0,9.02,0,0.8,High,0.4400000000000004,0,True,False,False
450,315,101,3,3.5,4.5,9.13,0,0.79,High,0.5,0,True,False,False
451,320,112,4,3.0,4.5,8.86,1,0.82,High,0.6000000000000005,0,True,False,False
452,324,113,4,4.5,4.5,9.25,1,0.89,High,0.6800000000000006,0,True,False,False
453,328,116,4,5.0,3.5,9.6,1,0.93,High,0.7600000000000007,0,True,False,False
454,319,103,3,2.5,4.0,8.76,1,0.73,High,0.5800000000000001,0,True,False,False
455,310,105,2,3.0,3.5,8.01,0,0.71,Medium,0.40000000000000036,2,False,False,True
456,305,102,2,1.5,2.5,7.64,0,0.59,Medium,0.3000000000000007,2,False,False,True
457,299,100,2,2.0,2.0,7.88,0,0.51,Medium,0.1800000000000006,2,False,False,True
458,295,99,1,2.0,1.5,7.57,0,0.37,Medium,0.10000000000000053,2,False,False,True
459,312,100,1,3.0,3.0,8.53,1,0.69,High,0.4400000000000004,0,True,False,False
460,329,113,4,4.0,3.5,9.36,1,0.89,High,0.7800000000000002,0,True,False,False
461,319,105,4,4.0,4.5,8.66,1,0.77,High,0.5800000000000001,0,True,False,False
462,301,102,3,2.5,2.0,8.13,1,0.68,Medium,0.22000000000000064,2,False,False,True
463,307,105,4,3.0,3.0,7.94,0,0.62,Medium,0.34000000000000075,2,False,False,True
464,304,107,3,3.5,3.0,7.86,0,0.57,Medium,0.28000000000000025,2,False,False,True
465,298,97,2,2.0,3.0,7.21,0,0.45,Medium,0.16000000000000014,2,False,False,True
466,305,96,4,3.0,4.5,8.26,0,0.54,Medium,0.3000000000000007,2,False,False,True
467,314,99,4,3.5,4.5,8.73,1,0.71,High,0.4800000000000004,0,True,False,False
468,318,101,5,3.5,5.0,8.78,1,0.78,High,0.5600000000000005,0,True,False,False
469,323,110,4,4.0,5.0,8.88,1,0.81,High,0.6600000000000001,0,True,False,False
470,326,114,4,4.0,3.5,9.16,1,0.86,High,0.7200000000000006,0,True,False,False
471,320,110,5,4.0,4.0,9.27,1,0.87,High,0.6000000000000005,0,True,False,False
472,311,103,3,2.0,4.0,8.09,0,0.64,Medium,0.41999999999999993,2,False,False,True
473,327,116,4,4.0,4.5,9.48,1,0.9,High,0.7400000000000002,0,True,False,False
474,316,102,2,4.0,3.5,8.15,0,0.67,Medium,0.5200000000000005,2,False,False,True
475,308,105,4,3.0,2.5,7.95,1,0.67,Medium,0.3600000000000003,2,False,False,True
476,300,101,3,3.5,2.5,7.88,0,0.59,Medium,0.20000000000000018,2,False,False,True
477,304,104,3,2.5,2.0,8.12,0,0.62,Medium,0.28000000000000025,2,False,False,True
478,309,105,4,3.5,2.0,8.18,0,0.65,Medium,0.3799999999999999,2,False,False,True
479,318,103,3,4.0,4.5,8.49,1,0.71,Medium,0.5600000000000005,2,False,False,True
480,325,110,4,4.5,4.0,8.96,1,0.79,High,0.7000000000000002,0,True,False,False
481,321,102,3,3.5,4.0,9.01,1,0.8,High,0.6200000000000001,0,True,False,False
482,323,107,4,3.0,2.5,8.48,1,0.78,Medium,0.6600000000000001,2,False,False,True
483,328,113,4,4.0,2.5,8.77,1,0.83,High,0.7600000000000007,0,True,False,False
484,304,103,5,5.0,3.0,7.92,0,0.71,Medium,0.28000000000000025,2,False,False,True
485,317,106,3,3.5,3.0,7.89,1,0.73,Medium,0.54,2,False,False,True
486,311,101,2,2.5,3.5,8.34,1,0.7,Medium,0.41999999999999993,2,False,False,True
487,319,102,3,2.5,2.5,8.37,0,0.68,Medium,0.5800000000000001,2,False,False,True
488,327,115,4,3.5,4.0,9.14,0,0.79,High,0.7400000000000002,0,True,False,False
489,322,112,3,3.0,4.0,8.62,1,0.76,High,0.6400000000000006,0,True,False,False
490,302,110,3,4.0,4.5,8.5,0,0.65,High,0.2400000000000002,0,True,False,False
491,307,105,2,2.5,4.5,8.12,1,0.67,Medium,0.34000000000000075,2,False,False,True
492,297,99,4,3.0,3.5,7.81,0,0.54,Medium,0.14000000000000057,2,False,False,True
493,298,101,4,2.5,4.5,7.69,1,0.53,Medium,0.16000000000000014,2,False,False,True
494,300,95,2,3.0,1.5,8.22,1,0.62,Medium,0.20000000000000018,2,False,False,True
495,301,99,3,2.5,2.0,8.45,1,0.68,Medium,0.22000000000000064,2,False,False,True
496,332,108,5,4.5,4.0,9.02,1,0.87,High,0.8400000000000007,0,True,False,False
497,337,117,5,5.0,5.0,9.87,1,0.96,High,0.9400000000000004,0,True,False,False
498,330,120,5,4.5,5.0,9.56,1,0.93,High,0.8000000000000007,0,True,False,False
499,312,103,4,4.0,5.0,8.43,0,0.73,Medium,0.4400000000000004,2,False,False,True
500,327,113,4,4.5,4.5,9.04,0,0.84,High,0.7400000000000002,0,True,False,False
